MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,Age,BathsTotal,BedsTotal,BathsFull,BathsHalf,DOM,Year_List,Year_Sold,List_Price,Sale_Price,Listing_Date,Sale_Date,Year_Built
CRNDP2105477,3170 Falcon Dr ,Carlsbad,92008,San Diego,5,3392,24000,60,3,5,3,0,9,2021,2021,2195000,2316000,5/16/2021 0:00,5/25/2021 0:00,1961
ML81844976,60 Los Altos PL ,San Mateo,94402,San Mateo,13,1840,8200,55,3,4,2,1,0,2021,2021,2200000,2160000,5/20/2021 0:00,5/20/2021 0:00,1966
CRSB21105644,949 Pine Grove AVE ,Los Angeles,90042,Los Angeles,0,1130,3710,57,1,3,1,0,6,2021,2021,799000,950000,5/20/2021 0:00,5/26/2021 0:00,1964
CROC21106460,19 Paseo Carla ,San Clemente,92673,Orange,2,2566,6006,15,3,4,3,0,8,2021,2021,1300000,1275000,5/18/2021 0:00,5/26/2021 0:00,2006
CRJT21106342,6276 Noels Knoll RD ,Twentynine Palms,92277,San Bernardino,3,2214,54450,32,2,4,2,0,0,2021,2021,360000,368500,5/11/2021 0:00,5/11/2021 0:00,1989
CRJT21106019,574 Sunever RD ,Joshua Tree,92252,San Bernardino,3,704,108900,62,1,1,1,0,10,2021,2021,330000,285000,5/18/2021 0:00,5/28/2021 0:00,1959
TM21-736554,3418 Keeshen DR ,Los Angeles,90066,Los Angeles,0,3952,5856,15,5,5,4,1,0,2021,2021,3250000,3400000,5/26/2021 0:00,5/26/2021 0:00,2006
ME202002809,3357 Summit Ridge TER ,Chico,95928,Butte,11,2486,13068,12,3,3,2,1,1,2020,2020,799900,777000,9/18/2020 0:00,9/19/2020 0:00,2009
CRDW21103909,812 W Arbutus ST ,Compton,90220,Los Angeles,0,862,4995,73,1,2,1,0,9,2021,2021,459000,516000,5/14/2021 0:00,5/23/2021 0:00,1948
CRCV21100654,630 W 11th ST ,Claremont,91711,Los Angeles,0,2360,11526,75,2,4,2,0,11,2021,2021,1200000,1307000,5/13/2021 0:00,5/24/2021 0:00,1946
CRSC21142161,652 Caudill ST ,San Luis Obispo,93401,San Luis Obispo,14,1339,6750,86,3,2,3,0,0,2021,2021,950000,950000,5/5/2021 0:00,5/5/2021 0:00,1935
ME221056432,2395 Canyon Creek TRL ,Plumas Lake,95961,Yuba,18,1241,9670,17,2,3,2,0,2,2021,2021,364999,370000,5/23/2021 0:00,5/25/2021 0:00,2004
CRSW21106534,310 Falabella LN ,Fallbrook,92028,San Diego,5,2213,6657,3,3,4,3,0,9,2021,2021,689900,690000,5/18/2021 0:00,5/27/2021 0:00,2018
CC40950601,1522 Katy Way ,Brentwood,94513,Contra Costa,6,2156,6694,23,3,2,2,1,10,2021,2021,750000,750000,5/19/2021 0:00,5/29/2021 0:00,1998
CRDW21111980,45055 Moccasin PL ,Lancaster,93536,Los Angeles,0,2670,7377,1,3,4,2,1,9,2021,2021,528000,520000,5/21/2021 0:00,5/30/2021 0:00,2020
BA321043339,223 Clearpointe ,Vallejo,94591,Solano,16,1736,3899,29,3,3,2,1,5,2021,2021,540000,550000,5/20/2021 0:00,5/25/2021 0:00,1992
