zip_code_tabulation_area,local_health_jurisdiction,county
95662,Sacramento,Sacramento
94301,Santa Clara,Santa Clara
95225,Calaveras,Calaveras
95389,Mariposa,Mariposa
95650,Placer,Placer
95987,Colusa,Colusa
94040,Santa Clara,Santa Clara
94506,Contra Costa,Contra Costa
94509,Contra Costa,Contra Costa
94542,Alameda,Alameda
95012,Monterey,Monterey
95365,Merced,Merced
95380,Stanislaus,Stanislaus
95918,Yuba,Yuba
95946,Nevada,Nevada
92823,Orange,Orange
94939,Marin,Marin
92661,Orange,Orange
95991,Sutter,Sutter
95045,San Benito,San Benito
95385,Stanislaus,Stanislaus
95472,Sonoma,Sonoma
95536,Humboldt,Humboldt
95624,Sacramento,Sacramento
95814,Sacramento,Sacramento
90045,Los Angeles,Los Angeles
95032,Santa Clara,Santa Clara
95060,Santa Cruz,Santa Cruz
90032,Los Angeles,Los Angeles
94964,Marin,Marin
95694,Yolo,Yolo
95917,Butte,Butte
95363,Stanislaus,Stanislaus
94947,Marin,Marin
95066,Santa Cruz,Santa Cruz
95684,El Dorado,El Dorado
95819,Sacramento,Sacramento
95926,Butte,Butte
95326,Stanislaus,Stanislaus
95356,Stanislaus,Stanislaus
94028,San Mateo,San Mateo
94111,San Francisco,San Francisco
95688,Solano,Solano
94512,Solano,Solano
94583,Contra Costa,Contra Costa
94901,Marin,Marin
94550,Alameda,Alameda
95981,Yuba,Yuba
95050,Santa Clara,Santa Clara
95817,Sacramento,Sacramento
95938,Butte,Butte
95965,Butte,Butte
95337,San Joaquin,San Joaquin
95383,Tuolumne,Tuolumne
94801,Contra Costa,Contra Costa
90026,Los Angeles,Los Angeles
95002,Santa Clara,Santa Clara
90230,Los Angeles,Los Angeles
90266,Los Angeles,Los Angeles
90005,Los Angeles,Los Angeles
90004,Los Angeles,Los Angeles
95514,Humboldt,Humboldt
95603,Placer,Placer
92310,San Bernardino,San Bernardino
95670,Sacramento,Sacramento
95119,Santa Clara,Santa Clara
90603,Los Angeles,Los Angeles
90292,Los Angeles,Los Angeles
90621,Orange,Orange
95977,Nevada,Nevada
90808,Long Beach,Los Angeles
90802,Long Beach,Los Angeles
90805,Long Beach,Los Angeles
95497,Sonoma,Sonoma
95519,Humboldt,Humboldt
95607,Yolo,Yolo
95203,San Joaquin,San Joaquin
95612,Yolo,Yolo
95747,Placer,Placer
95962,Yuba,Yuba
90007,Los Angeles,Los Angeles
90015,Los Angeles,Los Angeles
90046,Los Angeles,Los Angeles
95776,Yolo,Yolo
95687,Solano,Solano
90604,Los Angeles,Los Angeles
90020,Los Angeles,Los Angeles
90222,Los Angeles,Los Angeles
90650,Los Angeles,Los Angeles
95431,Sonoma,Sonoma
95683,Sacramento,Sacramento
95675,Amador,Amador
95722,Placer,Placer
95916,Butte,Butte
95969,Butte,Butte
90502,Los Angeles,Los Angeles
94304,Santa Clara,Santa Clara
90263,Los Angeles,Los Angeles
90220,Los Angeles,Los Angeles
95462,Sonoma,Sonoma
95641,Sacramento,Sacramento
95903,Yuba,Yuba
95941,Butte,Butte
95971,Plumas,Plumas
90040,Los Angeles,Los Angeles
